survey_year,period_start_year,period_end_year,period_years,source_table,group_name,soc_majors,displaced_thousands,reason,tenure_class
2008,2005,2007,3,table_2_reason,"Total, 20 years and over",,870.199,insufficient work,long_tenured
2008,2005,2007,3,table_2_reason,"Total, 20 years and over",,1649.373,plant or company closed down or moved,long_tenured
2008,2005,2007,3,table_2_reason,"Total, 20 years and over",,1121.428,position or shift abolished,long_tenured
2008,2005,2007,3,table_5_occupation,Construction and extraction occupations,47,218.0,all,long_tenured
2008,2005,2007,3,table_5_occupation,"Farming, fishing, and forestry occupations",45,21.0,all,long_tenured
2008,2005,2007,3,table_5_occupation,"Installation, maintenance, and repair occupations",49,176.0,all,long_tenured
2008,2005,2007,3,table_5_occupation,"Management, business, and financial operations occupations",11|13,605.0,all,long_tenured
2008,2005,2007,3,table_5_occupation,Office and administrative support occupations,43,574.0,all,long_tenured
2008,2005,2007,3,table_5_occupation,Production occupations,51,536.0,all,long_tenured
2008,2005,2007,3,table_5_occupation,Professional and related occupations,15|17|19|21|23|25|27|29,542.0,all,long_tenured
2008,2005,2007,3,table_5_occupation,Sales and related occupations,41,413.0,all,long_tenured
2008,2005,2007,3,table_5_occupation,Service occupations,31|33|35|37|39,319.0,all,long_tenured
2008,2005,2007,3,table_5_occupation,Transportation and material moving occupations,53,210.0,all,long_tenured
2010,2007,2009,3,table_2_reason,"Total, 20 years and over",,2969.464,insufficient work,long_tenured
2010,2007,2009,3,table_2_reason,"Total, 20 years and over",,2123.028,plant or company closed down or moved,long_tenured
2010,2007,2009,3,table_2_reason,"Total, 20 years and over",,1845.508,position or shift abolished,long_tenured
2010,2007,2009,3,table_5_occupation,Construction and extraction occupations,47,745.0,all,long_tenured
2010,2007,2009,3,table_5_occupation,"Farming, fishing, and forestry occupations",45,26.0,all,long_tenured
2010,2007,2009,3,table_5_occupation,"Installation, maintenance, and repair occupations",49,317.0,all,long_tenured
2010,2007,2009,3,table_5_occupation,"Management, business, and financial operations occupations",11|13,1149.0,all,long_tenured
2010,2007,2009,3,table_5_occupation,Office and administrative support occupations,43,1043.0,all,long_tenured
2010,2007,2009,3,table_5_occupation,Production occupations,51,873.0,all,long_tenured
2010,2007,2009,3,table_5_occupation,Professional and related occupations,15|17|19|21|23|25|27|29,964.0,all,long_tenured
2010,2007,2009,3,table_5_occupation,Sales and related occupations,41,675.0,all,long_tenured
2010,2007,2009,3,table_5_occupation,Service occupations,31|33|35|37|39,565.0,all,long_tenured
2010,2007,2009,3,table_5_occupation,Transportation and material moving occupations,53,508.0,all,long_tenured
2012,2009,2011,3,table_2_reason,"Total, 20 years and over",,2417.795,insufficient work,long_tenured
2012,2009,2011,3,table_2_reason,"Total, 20 years and over",,1885.268,plant or company closed down or moved,long_tenured
2012,2009,2011,3,table_2_reason,"Total, 20 years and over",,1817.937,position or shift abolished,long_tenured
2012,2009,2011,3,table_5_occupation,Construction and extraction occupations,47,516.0,all,long_tenured
2012,2009,2011,3,table_5_occupation,"Farming, fishing, and forestry occupations",45,30.0,all,long_tenured
2012,2009,2011,3,table_5_occupation,"Installation, maintenance, and repair occupations",49,242.0,all,long_tenured
2012,2009,2011,3,table_5_occupation,"Management, business, and financial operations occupations",11|13,1051.0,all,long_tenured
2012,2009,2011,3,table_5_occupation,Office and administrative support occupations,43,938.0,all,long_tenured
2012,2009,2011,3,table_5_occupation,Production occupations,51,644.0,all,long_tenured
2012,2009,2011,3,table_5_occupation,Professional and related occupations,15|17|19|21|23|25|27|29,956.0,all,long_tenured
2012,2009,2011,3,table_5_occupation,Sales and related occupations,41,625.0,all,long_tenured
2012,2009,2011,3,table_5_occupation,Service occupations,31|33|35|37|39,611.0,all,long_tenured
2012,2009,2011,3,table_5_occupation,Transportation and material moving occupations,53,411.0,all,long_tenured
2014,2011,2013,3,table_2_reason,"Total, 20 years and over",,1399.192,insufficient work,long_tenured
2014,2011,2013,3,table_2_reason,"Total, 20 years and over",,1515.076,plant or company closed down or moved,long_tenured
2014,2011,2013,3,table_2_reason,"Total, 20 years and over",,1377.732,position or shift abolished,long_tenured
